Gender,Married,Dependents,Education,Self_Employed,Loan_Amount_Term,Credit_History,Loan_Status,EMI_to_Income,LoanAmount_log,TotalIncome_log,ApplicantIncome_log,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
1.0,0.0,0,1,0.0,360.0,1.0,1,,,8.674196940225903,8.674196940225903,False,False,True
1.0,1.0,1,1,0.0,360.0,1.0,0,0.05837392145059195,4.859812404361672,8.714731714015052,8.430327258394575,True,False,False
1.0,1.0,0,1,1.0,360.0,1.0,1,0.061111111111111116,4.204692619390966,8.006700845440367,8.006700845440367,False,False,True
1.0,1.0,0,0,0.0,360.0,1.0,1,0.067462726843419,4.795790545596741,8.505525386548555,7.857093864902493,False,False,True
1.0,0.0,0,1,0.0,360.0,1.0,1,0.06527777777777778,4.955827057601261,8.699681400989514,8.699681400989514,False,False,True
1.0,1.0,2,1,1.0,360.0,1.0,1,0.07715246714518534,5.5909869805108565,9.170975648453906,8.59748202264504,False,False,True
1.0,1.0,0,0,0.0,360.0,1.0,1,0.06856037643255103,4.564348191467836,8.25582842728183,7.755338812846501,False,False,True
1.0,1.0,3,1,0.0,360.0,0.0,0,0.07922182109907742,5.0689042022202315,8.61993026886735,8.01862546504575,False,True,False
1.0,1.0,2,1,0.0,360.0,1.0,1,0.08435767654856592,5.1298987149230735,8.618485442898109,8.295798110636145,False,False,True
1.0,1.0,1,1,0.0,360.0,1.0,0,0.04071756245304063,5.857933154483459,10.077860939480908,9.460476328353995,False,True,False
1.0,1.0,2,1,0.0,360.0,1.0,1,0.04985754985754986,4.2626798770413155,8.268988209506656,8.071218539969863,False,False,True
1.0,1.0,2,1,,360.0,1.0,1,0.06976446492575525,4.700480365792417,8.375860015299594,7.824445930877619,False,False,True
1.0,1.0,2,1,0.0,360.0,1.0,1,0.04969635526930455,5.303304908059076,9.32188174670909,8.03073492409854,False,False,True
1.0,0.0,0,1,0.0,360.0,1.0,0,0.06747638326585695,4.74493212836325,8.454040376410969,7.5251007461258,True,False,False
1.0,1.0,2,1,0.0,120.0,1.0,1,0.0593990216631726,2.8903717578961645,7.777373602657861,7.170119543449628,False,False,True
1.0,0.0,0,1,0.0,360.0,1.0,1,0.07014590347923681,4.836281906951478,8.507344855361422,8.507344855361422,False,False,True
1.0,0.0,1,0,0.0,240.0,,1,0.11586948461253245,4.61512051684126,8.187855443695623,8.187855443695623,False,False,True
0.0,0.0,0,1,0.0,360.0,0.0,0,0.06014561570117126,4.343805421853684,8.163656176168432,8.163656176168432,False,False,True
1.0,1.0,0,0,0.0,360.0,1.0,0,0.07559738990064344,4.897839799950911,8.494538500851432,8.494538500851432,True,False,False
1.0,1.0,0,1,,,1.0,1,,4.7535901911063645,8.716207971151853,7.8636512654486515,False,False,True
1.0,1.0,0,0,0.0,360.0,0.0,0,0.037713954163040325,4.653960350157523,8.94389780251682,8.94389780251682,False,False,True
1.0,1.0,1,1,0.0,360.0,1.0,1,0.07556131260794473,5.755742213586912,9.357121103184378,8.6921543938039,False,False,True
1.0,1.0,0,0,0.0,360.0,0.0,0,0.07143033079632503,4.762173934797756,8.414495793177895,7.8636512654486515,False,True,False
,1.0,2,0,0.0,360.0,0.0,0,0.058900248222474645,4.727387818712341,8.572249397164315,8.121480374750751,True,False,False
1.0,1.0,1,1,,360.0,,0,0.0631503228612533,5.0238805208462765,8.80131894766524,8.220941168281389,False,True,False
1.0,1.0,0,1,1.0,360.0,1.0,1,0.055497443049744306,5.2574953720277815,9.165447603085447,9.165447603085447,False,True,False
1.0,1.0,0,1,0.0,360.0,1.0,1,0.06708014427729393,4.812184355372417,8.527737405291909,7.937374696163295,False,True,False
1.0,1.0,2,0,0.0,360.0,1.0,1,0.05802422247541883,4.709530201312334,8.569216219483389,8.34924780056679,False,False,True
1.0,0.0,0,0,0.0,360.0,1.0,0,0.0674217907227616,3.58351893845611,7.274479558773871,7.274479558773871,False,False,True
0.0,0.0,2,1,,360.0,1.0,1,0.05714612263557917,4.795790545596741,8.671458150427666,8.229777750081887,False,True,False
1.0,1.0,1,1,,360.0,,0,0.07409865074098651,5.308267697401205,8.927446816256198,8.334951631422454,False,False,True
1.0,0.0,0,1,0.0,360.0,1.0,0,0.0649054485492755,4.31748811353631,8.060855752934316,8.060855752934316,False,False,True
1.0,0.0,1,1,1.0,360.0,1.0,0,0.0627545704272047,4.672828834461906,8.453827315794417,8.453827315794417,True,False,False
1.0,1.0,0,1,0.0,360.0,1.0,1,0.06128636862137927,4.74493212836325,8.550241045462437,8.160803920954665,False,True,False
1.0,0.0,3,1,0.0,360.0,1.0,0,0.05734767025089606,5.771441123130016,9.648659816955295,9.433563920090563,True,False,False
1.0,1.0,0,1,0.0,360.0,1.0,1,,,8.376320632534823,7.730174795246222,False,False,True
